,ID,condition,coords
e4077,e4077,e,"[[583 581]
 [609 582]
 [621 582]
 [637 582]
 [647 583]
 [655 583]
 [661 585]
 [677 588]
 [683 589]
 [697 593]
 [701 593]]"
e3a,e3a,e,"[[827 400]
 [822 409]
 [820 414]
 [818 421]
 [816 428]
 [814 431]
 [812 439]
 [809 443]
 [805 448]
 [802 452]
 [799 456]
 [795 462]
 [788 466]
 [780 469]
 [774 469]
 [768 470]
 [761 473]
 [757 475]
 [752 477]
 [750 478]]"
e300,e300,e,"[[100 646]
 [ 98 625]
 [ 99 606]
 [102 601]
 [103 597]
 [105 587]
 [105 579]
 [105 577]
 [107 571]
 [109 567]
 [109 564]
 [109 561]
 [110 556]
 [111 551]
 [112 549]
 [115 539]
 [118 532]]"
e200,e200,e,"[[583 559]
 [626 530]
 [670 506]
 [688 490]
 [740 462]]"
e4050a,e4050a,e,"[[527 512]
 [542 502]
 [572 489]
 [588 477]
 [604 464]
 [615 453]
 [624 448]]"
e4041,e4041,e,"[[658 565]
 [662 574]
 [665 580]
 [667 596]
 [672 618]
 [677 641]
 [679 663]
 [683 678]]"
e2240,e2240,e,"[[664 202]
 [663 220]
 [662 230]
 [662 239]
 [661 246]
 [656 260]
 [655 273]
 [652 289]]"
e2340,e2340,e,"[[389 686]
 [400 678]
 [417 669]
 [443 657]
 [461 648]
 [476 640]
 [490 635]
 [506 630]
 [521 628]
 [532 627]
 [543 624]
 [556 620]]"
v11,v11,v,"[[586 362]
 [622 352]
 [633 349]
 [643 344]
 [652 337]
 [657 333]
 [664 325]]"
e4030,e4030,e,"[[559 234]
 [547 263]
 [540 275]
 [532 297]
 [528 327]
 [528 339]
 [543 381]
 [581 459]]"
v380,v380,v,"[[707 332]
 [719 351]
 [734 372]
 [743 382]
 [748 393]]"
d526,d526,d,"[[683 382]
 [706 364]
 [741 345]
 [771 332]
 [776 330]]"
d426,d426,d,"[[497 242]
 [502 249]
 [502 264]
 [516 293]
 [519 300]
 [527 318]
 [535 340]
 [551 361]
 [553 370]
 [566 391]
 [579 398]]"
d545,d545,d,"[[751 740]
 [747 712]
 [750 686]
 [754 671]
 [762 661]
 [768 653]
 [785 645]
 [799 640]
 [819 637]
 [827 634]
 [832 631]]"
d445,d445,d,"[[304 414]
 [324 451]
 [330 474]
 [340 508]
 [340 530]
 [335 549]
 [335 563]
 [326 594]]"
d549,d549,d,"[[877 342]
 [873 364]
 [855 393]
 [851 402]
 [848 410]
 [843 417]
 [836 422]
 [823 428]
 [814 430]
 [798 437]
 [788 440]
 [768 447]
 [741 464]]"
v980,v980,v,"[[709 263]
 [716 290]
 [718 300]
 [718 313]
 [714 323]
 [712 331]
 [709 338]
 [704 356]]"
d502,d502,d,"[[832 708]
 [818 710]
 [804 708]
 [791 707]
 [773 703]
 [743 692]]"
d241,d241,d,"[[482 453]
 [476 457]
 [464 474]
 [461 485]
 [455 496]
 [453 504]
 [444 519]
 [437 536]
 [432 541]
 [430 544]
 [426 550]
 [423 563]
 [419 573]
 [415 578]
 [409 582]]"
e290,e290,e,"[[639 443]
 [713 473]
 [747 487]
 [772 498]
 [783 503]
 [819 520]]"
e4049a,e4049a,e,"[[1164  128]
 [1171  150]
 [1174  165]
 [1172  174]
 [1170  184]
 [1170  197]
 [1171  213]
 [1172  222]
 [1174  234]
 [1176  252]
 [1176  265]
 [1176  274]
 [1175  289]
 [1175  292]]"
e216,e216,e,"[[670 380]
 [748 434]
 [784 473]
 [803 502]
 [813 511]
 [818 517]]"
d596,d596,d,"[[800 586]
 [822 636]
 [846 691]
 [847 713]]"
e4049,e4049,e,"[[ 972  189]
 [ 992  193]
 [1030  210]
 [1051  214]
 [1071  219]
 [1082  222]]"
e4034,e4034,e,"[[1006  302]
 [1017  309]
 [1031  320]
 [1053  338]
 [1064  344]]"
e308,e308,e,"[[685 538]
 [710 512]
 [716 501]
 [758 469]
 [809 436]
 [816 436]]"
e304,e304,e,"[[565 576]
 [603 569]
 [651 590]
 [688 618]]"
e204,e204,e,"[[670 581]
 [690 546]
 [730 488]
 [753 458]
 [778 411]
 [791 391]]"
e2090,e2090,e,"[[583 462]
 [601 448]
 [615 440]
 [640 426]
 [652 419]]"
v6003,v6003,v,"[[3262 2608]
 [3258 2608]
 [3226 2652]
 [3218 2712]
 [3202 2760]
 [3184 2802]
 [3174 2832]
 [3184 2894]
 [3206 2974]
 [3236 2996]]"
v670,v670,v,"[[504 761]
 [510 761]
 [521 751]
 [540 751]
 [558 743]
 [596 727]
 [620 718]
 [649 709]
 [666 696]]"
