,ID,condition,coords
e296a,e296a,e,"[[745.5 534. ]
 [742.5 553.5]
 [764.  567.5]
 [716.  613.5]
 [792.  643. ]
 [866.  610. ]
 [760.5 590.5]
 [740.5 571.5]
 [801.5 606.5]]"
e80,e80,e,"[[718.5     393.     ]
 [687.3333  612.6667 ]
 [760.      425.66666]
 [784.3333  408.66666]]"
d2112,d2112,d,"[[503. 415.]
 [510. 443.]
 [541. 451.]
 [709. 532.]]"
e2040a,e2040a,e,"[[295.33334 593.3333 ]
 [316.      604.     ]
 [353.      627.3333 ]]"
d433,d433,d,"[[711.6667 536.3333]
 [739.3333 545.    ]]"
d450,d450,d,"[[506.  592. ]
 [484.5 587.5]]"
d1007,d1007,d,"[[2374.  266.]
 [2410.  216.]
 [2472.  354.]]"
e1,e1,e,"[[727. 413.]
 [692. 432.]]"
e2160,e2160,e,"[[907.  353.5]
 [789.5 250. ]
 [849.5 320.5]
 [768.  445.5]
 [764.5 590. ]]"
e289,e289,e,"[[652.  582. ]
 [586.  576. ]
 [448.  559.5]
 [398.  577.5]
 [452.  503. ]
 [487.5 519.5]
 [472.5 588. ]
 [592.  609. ]
 [547.  640.5]
 [428.  608.5]]"
e40,e40,e,"[[561.5 551. ]
 [588.  526.5]
 [559.  581. ]]"
v4120,v4120,v,"[[714.      356.     ]
 [835.      427.     ]
 [959.      391.     ]
 [748.      393.     ]
 [918.      405.33334]]"
e31,e31,e,"[[879.  633. ]
 [835.5 494. ]
 [893.  598. ]
 [901.  630. ]]"
d2109,d2109,d,"[[508. 583.]
 [499. 488.]
 [601. 406.]
 [726. 396.]
 [709. 388.]
 [525. 432.]]"
e2130,e2130,e,"[[712.5 448.5]
 [664.  538.5]
 [635.5 484. ]]"
d412,d412,d,"[[447.5 255.5]
 [344.  332.5]]"
d463,d463,d,"[[599.  490.5]
 [639.  587.5]
 [586.  551. ]]"
v520,v520,v,"[[544.5 623. ]
 [588.5 644. ]]"
e76,e76,e,"[[ 952.3333   512.6667 ]
 [1076.       476.     ]
 [1071.6666   494.33334]
 [ 967.6667   563.     ]
 [ 977.       487.     ]
 [1076.5      445.5    ]
 [ 983.       443.5    ]]"
d1891,d1891,d,"[[733.3333 623.6667]
 [747.3333 608.3333]
 [639.3333 606.3333]
 [634.6667 581.    ]
 [818.     639.    ]
 [819.3333 628.3333]]"
d2087,d2087,d,"[[691.      469.     ]
 [754.3333  475.66666]
 [841.6667  509.66666]]"
v1029,v1029,v,"[[248.5 643. ]
 [194.  605. ]
 [295.  635. ]]"
e183,e183,e,"[[526.3333  617.6667 ]
 [499.66666 589.     ]
 [586.3333  615.     ]
 [635.      519.     ]
 [663.6667  537.     ]
 [525.      511.66666]
 [597.      483.     ]
 [495.      488.33334]
 [568.3333  717.6667 ]
 [457.66666 468.33334]
 [499.66666 623.6667 ]]"
e4067,e4067,e,"[[865.      528.     ]
 [842.      510.     ]
 [755.      460.     ]
 [725.      499.33334]]"
v6021,v6021,v,"[[ 398.66666 2705.6667 ]
 [ 392.      2737.6667 ]
 [ 486.66666 2729.6667 ]]"
v25,v25,v,"[[658.3333  481.     ]
 [665.      501.     ]
 [581.      431.     ]
 [693.6667  483.66666]]"
d1003c,d1003c,d,"[[ 672. 1710.]
 [ 662. 1768.]]"
v1046,v1046,v,"[[798.5 531. ]
 [741.5 576. ]]"
e273,e273,e,"[[624.5 374.5]
 [680.  492.5]
 [729.5 498.5]
 [764.5 399.5]
 [796.5 441. ]]"
d115,d115,d,"[[459.66666 326.66666]
 [420.33334 428.66666]
 [455.66666 502.     ]
 [437.      413.33334]
 [393.25    526.75   ]]"
e4051,e4051,e,"[[645.6667 601.    ]
 [644.3333 620.3333]
 [578.3333 588.3333]]"
d176,d176,d,"[[860.5 659.5]
 [819.5 657.5]
 [836.  581.5]]"
v290,v290,v,"[[487.66666 762.6667 ]
 [522.6667  804.3333 ]]"
e4020,e4020,e,[[882.6667 344.    ]]
v6005,v6005,v,"[[3165. 3464.]
 [2977. 3212.]
 [2877. 3374.]]"
e202,e202,e,"[[413.  486. ]
 [433.5 421.5]
 [403.  447. ]
 [401.  592. ]
 [470.5 418.5]]"
e89,e89,e,"[[795.  357. ]
 [815.  297.5]
 [756.5 325. ]]"
e321a,e321a,e,"[[618.3333 498.    ]
 [621.6667 561.3333]]"
v27,v27,v,"[[874.      416.33334]
 [759.3333  485.66666]
 [730.6667  467.66666]
 [748.6667  529.     ]]"
e193,e193,e,"[[775.5 758. ]
 [815.5 759.5]
 [765.5 820. ]
 [752.  786. ]
 [732.  704.5]]"
e324,e324,e,"[[715.  468. ]
 [766.  391.5]
 [760.  461. ]]"
e4018,e4018,e,"[[941. 447.]
 [919. 444.]
 [952. 423.]
 [821. 429.]
 [796. 347.]
 [866. 354.]]"
v170,v170,v,"[[711.  784. ]
 [728.5 643.5]]"
v6019b,v6019b,v,"[[3379.     3666.6667]
 [3396.3333 3598.6667]]"
e255,e255,e,"[[661.3333  511.33334]
 [513.6667  548.3333 ]
 [636.3333  635.     ]
 [599.6667  625.     ]
 [571.3333  599.3333 ]
 [599.      541.     ]]"
e2790,e2790,e,"[[599.     529.    ]
 [574.5    601.    ]
 [755.5    364.5   ]
 [739.5    430.    ]
 [735.     351.5   ]
 [685.3333 432.    ]]"
e4077,e4077,e,"[[707.      555.6667 ]
 [766.3333  585.6667 ]
 [729.      497.66666]
 [663.6667  493.     ]]"
e3a,e3a,e,"[[813.3333  399.66666]
 [780.3333  408.33334]
 [785.      397.     ]]"
e300,e300,e,"[[207.5 551. ]
 [159.  532.5]
 [131.  562. ]
 [176.5 618. ]
 [190.  566. ]
 [145.  580.5]
 [150.5 555.5]]"
e200,e200,e,"[[710.6667  399.66666]
 [646.      471.66666]
 [622.6667  447.66666]
 [548.      534.3333 ]
 [508.66666 525.     ]
 [705.3333  451.     ]
 [602.6667  477.66666]]"
e4050a,e4050a,e,"[[747.3333  425.     ]
 [799.3333  411.66666]
 [568.      514.3333 ]
 [828.6667  539.     ]
 [712.6667  489.     ]]"
e4041,e4041,e,"[[719.      584.6667 ]
 [723.      545.3333 ]
 [783.      484.66666]
 [775.      640.6667 ]]"
e2240,e2240,e,"[[629.      143.     ]
 [637.6667  191.33333]]"
e2340,e2340,e,"[[435.66666 625.3333 ]
 [435.66666 573.3333 ]
 [513.6667  520.     ]
 [526.3333  579.     ]
 [646.      508.66666]
 [604.3333  457.33334]
 [645.      438.33334]]"
v11,v11,v,"[[499.33334 437.33334]
 [624.      384.     ]
 [701.6667  406.66666]]"
e4030,e4030,e,"[[772.6667  430.33334]
 [682.6667  423.     ]
 [576.      406.33334]]"
v380,v380,v,"[[587.      351.5    ]
 [719.5     390.     ]
 [631.3333  368.33334]]"
d526,d526,d,"[[750.      380.     ]
 [688.      452.     ]
 [932.      353.33334]]"
d426,d426,d,"[[641.5 202.5]
 [604.  256. ]]"
d545,d545,d,"[[594. 494.]
 [670. 585.]
 [653. 572.]]"
d445,d445,d,"[[376.  624.5]
 [352.5 505. ]
 [465.  532. ]]"
d549,d549,d,"[[638.  401. ]
 [681.  424. ]
 [673.5 466.5]]"
v980,v980,v,"[[755.  310. ]
 [737.5 277.5]]"
d502,d502,d,"[[649.6667  434.33334]
 [695.      509.     ]
 [795.      530.3333 ]]"
d241,d241,d,"[[500.5    528.    ]
 [538.     563.    ]
 [524.6667 584.6667]]"
e290,e290,e,"[[774.5 601.5]
 [632.5 547.5]
 [661.  540. ]
 [630.5 464.5]
 [586.  458. ]
 [810.5 541.5]
 [659.  512. ]]"
e4049a,e4049a,e,"[[1152.6666     77.333336]
 [1219.3334    242.66669 ]
 [1198.        245.33334 ]]"
e216,e216,e,"[[720.  590.5]
 [832.  660. ]
 [750.  455.5]
 [610.5 458. ]
 [750.  559. ]
 [790.5 601.5]
 [665.  457. ]
 [701.  433.5]
 [706.  514. ]
 [870.5 687. ]]"
d596,d596,d,"[[738.     723.3333]
 [796.     745.3333]
 [644.     711.3333]
 [733.3333 661.3333]]"
e4049,e4049,e,"[[ 436.5      467.     ]
 [ 378.5      479.     ]
 [1013.6667   100.     ]
 [ 977.       100.     ]
 [1040.3334   134.     ]
 [1023.6667   165.33333]]"
e4034,e4034,e,"[[ 935.6667   362.     ]
 [ 952.3333   439.33334]
 [ 952.3333   512.     ]
 [1014.3333   452.33334]
 [ 872.3333   359.66666]]"
e308,e308,e,"[[832.     520.    ]
 [807.5    557.5   ]
 [754.     589.    ]
 [820.6667 541.    ]]"
e304,e304,e,"[[603.6667  432.66666]
 [639.6667  484.66666]
 [768.3333  611.3333 ]
 [725.5     570.1667 ]]"
e204,e204,e,"[[930.      261.     ]
 [928.      306.33334]
 [858.6667  399.     ]
 [832.      416.33334]
 [817.3333  495.66666]
 [820.6667  544.3333 ]
 [762.6667  467.     ]
 [730.6667  545.     ]
 [700.6667  562.3333 ]
 [936.6667  469.33334]
 [954.6667  433.33334]
 [884.      482.     ]
 [898.6667  360.     ]
 [945.3333  295.33334]
 [958.6667  278.66666]]"
e2090,e2090,e,"[[466.  371.5]
 [500.5 317.5]]"
v670,v670,v,"[[607.3333  608.3333 ]
 [659.3333  657.     ]
 [766.6667  455.     ]
 [739.      498.33334]
 [613.      535.     ]
 [571.6667  634.3333 ]]"
e4038,e4038,e,"[[742.        40.      ]
 [856.        81.333336]
 [876.       100.      ]
 [897.3333    88.666664]]"
