,ID,condition,coords
e289,e289,e,"[[652.  582. ]
 [586.  576. ]
 [448.  559.5]
 [398.  577.5]
 [452.  503. ]
 [487.5 519.5]
 [472.5 588. ]
 [592.  609. ]
 [547.  640.5]
 [428.  608.5]]"
v4120,v4120,v,"[[714.      356.     ]
 [835.      427.     ]
 [959.      391.     ]
 [748.      393.     ]
 [918.      405.33334]]"
d2109,d2109,d,"[[508. 583.]
 [499. 488.]
 [601. 406.]
 [726. 396.]
 [709. 388.]
 [525. 432.]]"
d412,d412,d,"[[447.5 255.5]
 [344.  332.5]]"
d463,d463,d,"[[599.  490.5]
 [639.  587.5]
 [586.  551. ]]"
d1891,d1891,d,"[[733.3333 623.6667]
 [747.3333 608.3333]
 [639.3333 606.3333]
 [634.6667 581.    ]
 [818.     639.    ]
 [819.3333 628.3333]]"
d2087,d2087,d,"[[691.      469.     ]
 [754.3333  475.66666]
 [841.6667  509.66666]]"
e183,e183,e,"[[526.3333  617.6667 ]
 [499.66666 589.     ]
 [586.3333  615.     ]
 [635.      519.     ]
 [663.6667  537.     ]
 [525.      511.66666]
 [597.      483.     ]
 [495.      488.33334]
 [568.3333  717.6667 ]
 [457.66666 468.33334]
 [499.66666 623.6667 ]]"
e4067,e4067,e,"[[865.      528.     ]
 [842.      510.     ]
 [755.      460.     ]
 [725.      499.33334]]"
v6021,v6021,v,"[[ 398.66666 2705.6667 ]
 [ 392.      2737.6667 ]
 [ 486.66666 2729.6667 ]]"
d1003c,d1003c,d,"[[ 672. 1710.]
 [ 662. 1768.]]"
e273,e273,e,"[[624.5 374.5]
 [680.  492.5]
 [729.5 498.5]
 [764.5 399.5]
 [796.5 441. ]]"
d115,d115,d,"[[459.66666 326.66666]
 [420.33334 428.66666]
 [455.66666 502.     ]
 [437.      413.33334]
 [393.25    526.75   ]]"
e4051,e4051,e,"[[645.6667 601.    ]
 [644.3333 620.3333]
 [578.3333 588.3333]]"
d176,d176,d,"[[860.5 659.5]
 [819.5 657.5]
 [836.  581.5]]"
v6005,v6005,v,"[[3165. 3464.]
 [2977. 3212.]
 [2877. 3374.]]"
e202,e202,e,"[[413.  486. ]
 [433.5 421.5]
 [403.  447. ]
 [401.  592. ]
 [470.5 418.5]]"
e193,e193,e,"[[775.5 758. ]
 [815.5 759.5]
 [765.5 820. ]
 [752.  786. ]
 [732.  704.5]]"
e4018,e4018,e,"[[941. 447.]
 [919. 444.]
 [952. 423.]
 [821. 429.]
 [796. 347.]
 [866. 354.]]"
v6019b,v6019b,v,"[[3379.     3666.6667]
 [3396.3333 3598.6667]]"
e255,e255,e,"[[661.3333  511.33334]
 [513.6667  548.3333 ]
 [636.3333  635.     ]
 [599.6667  625.     ]
 [571.3333  599.3333 ]
 [599.      541.     ]]"
e4077,e4077,e,"[[707.      555.6667 ]
 [766.3333  585.6667 ]
 [729.      497.66666]
 [663.6667  493.     ]]"
e300,e300,e,"[[207.5 551. ]
 [159.  532.5]
 [131.  562. ]
 [176.5 618. ]
 [190.  566. ]
 [145.  580.5]
 [150.5 555.5]]"
e200,e200,e,"[[710.6667  399.66666]
 [646.      471.66666]
 [622.6667  447.66666]
 [548.      534.3333 ]
 [508.66666 525.     ]
 [705.3333  451.     ]
 [602.6667  477.66666]]"
e4050a,e4050a,e,"[[747.3333  425.     ]
 [799.3333  411.66666]
 [568.      514.3333 ]
 [828.6667  539.     ]
 [712.6667  489.     ]]"
e4041,e4041,e,"[[719.      584.6667 ]
 [723.      545.3333 ]
 [783.      484.66666]
 [775.      640.6667 ]]"
e4030,e4030,e,"[[772.6667  430.33334]
 [682.6667  423.     ]
 [576.      406.33334]]"
d526,d526,d,"[[750.      380.     ]
 [688.      452.     ]
 [932.      353.33334]]"
d426,d426,d,"[[641.5 202.5]
 [604.  256. ]]"
