,ID,condition,coords
e165,e165,e,"[[728.5 479. ]
 [721.  491.5]
 [713.5 505. ]
 [708.  517.5]
 [700.5 528. ]
 [694.  541. ]
 [686.  554. ]
 [684.  564. ]
 [684.5 574. ]]"
v4135,v4135,v,"[[ 908  232]
 [ 935  226]
 [ 957  218]
 [ 982  208]
 [1001  202]
 [1021  193]
 [1048  184]
 [1070  177]
 [1095  170]]"
d531,d531,d,"[[848.  743.5]
 [844.5 722.5]
 [837.  693. ]
 [827.  673.5]
 [822.  649. ]
 [816.  634.5]]"
e177,e177,e,"[[709.5    592.1667]
 [735.8333 585.1667]
 [755.1667 577.8334]
 [770.8333 571.8334]
 [788.5    558.8334]]"
d540,d540,d,"[[776.8333  519.8333 ]
 [779.8333  500.49997]
 [782.5     481.8333 ]
 [784.5     466.16666]
 [792.8333  454.8333 ]
 [792.8333  447.8333 ]
 [794.5     424.16666]
 [797.5     408.8333 ]]"
d1906,d1906,d,"[[667.5     510.83334]
 [672.1667  516.5    ]
 [685.1667  522.8334 ]
 [700.5     531.1667 ]
 [713.8333  537.8334 ]
 [724.8333  545.5    ]
 [736.1667  552.5    ]
 [747.1667  560.1667 ]
 [762.1667  570.1667 ]
 [771.1667  578.8334 ]
 [780.8333  586.5    ]
 [792.8333  597.1667 ]
 [800.1667  605.8334 ]
 [806.8333  617.8334 ]]"
e169,e169,e,"[[743.  677. ]
 [723.5 664. ]
 [703.5 654.5]
 [689.5 646. ]
 [667.5 639. ]
 [652.  636. ]
 [635.5 636. ]
 [617.  641. ]]"
e4081,e4081,e,"[[1010.1667  574.1667]
 [1012.1667  601.8334]
 [1012.1667  626.1667]
 [1008.1667  687.8334]
 [1000.1667  723.8334]
 [ 989.1667  747.1667]
 [ 978.1667  760.1667]
 [ 969.1667  777.5   ]
 [ 956.1667  789.8334]]"
d576,d576,d,"[[627.8333  386.16666]
 [637.5     387.16666]
 [656.8333  384.8333 ]
 [671.8333  382.5    ]
 [685.5     379.5    ]
 [698.5     375.16666]
 [703.1666  373.5    ]]"
e295,e295,e,"[[427 502]
 [447 482]
 [466 464]
 [484 447]
 [502 432]
 [520 422]
 [528 418]
 [536 408]]"
d564,d564,d,"[[642 882]
 [605 860]
 [563 849]
 [534 837]
 [497 816]
 [477 803]
 [444 774]
 [413 751]]"
